student_id,study_hours_per_week,attendance_percentage,previous_exam_score,final_exam_score
1,7,69,82,73
2,20,85,83,80
3,29,68,68,74
4,15,75,52,40
5,11,52,51,60
6,8,68,70,87
7,29,69,85,94
8,21,81,41,45
9,7,56,100,67
10,26,90,90,56
11,19,82,89,44
12,23,89,74,70
13,11,88,62,44
14,11,67,56,77
15,24,89,65,42
16,21,50,47,92
17,4,60,68,62
18,8,77,65,76
19,24,74,49,92
20,3,99,65,76
21,22,72,73,49
22,21,80,90,49
23,2,79,80,58
24,24,91,46,56
25,12,84,43,60
26,6,56,97,53
27,2,65,92,48
28,28,75,89,85
29,21,97,84,40
30,1,98,50,90
31,12,51,68,84
32,26,50,95,52
33,22,97,75,43
34,29,61,64,40
35,12,54,60,88
36,25,86,100,79
37,17,81,96,71
38,27,58,75,73
39,27,90,49,67
40,10,84,76,70
41,28,68,48,47
42,28,97,63,78
43,16,65,74,65
44,15,52,88,97
45,15,69,74,73
46,19,73,87,93
47,12,82,75,93
48,23,73,57,42
49,20,60,88,98
50,25,98,78,89
51,3,57,71,51
52,5,85,63,40
53,19,87,62,93
54,7,89,71,83
55,21,69,76,44
56,9,84,51,69
57,7,97,88,69
58,18,74,94,98
59,4,84,52,96
60,25,74,62,56
61,28,78,64,87
62,14,67,74,86
63,18,95,80,62
64,26,67,69,54
65,9,51,56,76
66,26,84,88,60
67,21,65,59,53
68,2,90,87,41
69,20,85,64,50
70,28,82,61,90
71,15,53,52,78
72,28,82,98,77
73,7,63,58,99
74,12,70,88,73
75,29,97,75,77
76,8,69,51,89
77,15,57,100,73
78,3,56,80,57
79,14,52,58,69
80,17,66,51,54
81,4,82,48,66
82,18,97,46,90
83,8,61,67,73
84,4,100,53,91
85,2,71,70,96
86,6,71,91,77
87,22,95,58,72
88,10,79,97,63
89,4,87,86,54
90,22,87,55,99
91,29,94,92,69
92,18,100,44,94
93,26,57,74,81
94,12,76,51,90
95,2,76,64,56
96,10,83,91,44
97,4,70,98,68
98,14,79,60,43
99,16,82,75,49
100,15,77,92,95
101,8,96,62,56
102,14,82,55,49
103,23,54,96,56
104,28,97,78,99
105,25,68,84,59
106,8,53,92,63
107,21,84,81,44
108,16,98,97,73
109,13,66,78,45
110,18,93,53,92
111,15,77,70,41
112,21,79,97,52
113,24,78,44,82
114,26,95,74,82
115,25,55,62,87
116,28,84,68,50
117,28,90,82,90
118,28,86,50,86
119,13,73,57,96
120,9,78,86,62
121,29,98,51,94
122,15,95,48,55
123,13,80,49,70
124,1,84,97,50
125,25,82,83,93
126,7,70,56,55
127,9,81,100,47
128,24,72,77,43
129,1,82,46,79
130,12,52,85,43
131,8,67,52,95
132,24,74,79,64
133,11,91,81,42
134,19,80,48,71
135,17,52,89,42
136,8,89,66,66
137,3,95,97,68
138,3,73,41,71
139,1,99,44,89
140,27,81,68,100
141,5,96,76,97
142,10,71,77,90
143,7,72,58,58
144,26,51,47,60
145,9,76,87,44
146,28,91,84,57
147,7,51,40,67
148,9,75,61,81
149,8,66,91,100
150,12,89,56,61
151,2,82,46,60
152,1,58,64,45
153,16,92,84,40
154,23,97,43,44
155,23,88,75,80
156,24,78,45,51
157,5,91,99,65
158,3,75,70,85
159,12,84,58,73
160,8,99,100,88
161,22,74,83,53
162,27,73,93,65
163,3,62,78,84
164,1,56,66,66
165,3,85,49,48
166,5,94,65,65
167,15,69,58,96
168,14,50,78,86
169,3,57,42,96
170,1,95,84,61
171,5,65,52,86
172,26,63,89,95
173,23,61,67,69
174,14,100,97,82
175,7,72,59,87
176,27,64,67,100
177,9,77,47,56
178,15,83,100,65
179,15,51,80,75
180,26,81,78,40
181,10,72,40,47
182,28,71,42,88
183,13,100,52,74
184,19,74,67,100
185,7,71,96,91
186,17,71,99,54
187,20,98,88,86
188,29,91,64,95
189,4,55,95,61
190,5,64,72,53
191,23,92,77,65
192,7,86,92,67
193,13,82,45,62
194,15,57,97,53
195,11,93,83,63
196,29,93,84,41
197,4,54,71,84
198,13,88,84,65
199,7,53,100,53
200,27,55,86,98
201,19,94,60,95
202,22,81,55,90
203,28,79,93,46
204,2,96,60,42
205,10,84,50,86
206,13,89,99,62
207,25,65,76,85
208,21,62,75,82
209,6,99,74,86
210,28,91,58,99
211,28,79,59,84
212,12,68,96,57
213,12,66,57,97
214,20,68,86,77
215,11,77,80,74
216,26,75,88,90
217,23,86,53,54
218,28,75,54,64
219,25,72,70,94
220,7,58,40,76
221,1,61,92,67
222,1,50,93,49
223,25,50,93,78
224,27,96,42,96
225,25,83,55,56
226,20,81,62,78
227,13,97,96,61
228,9,74,50,65
229,3,89,51,83
230,7,94,49,64
231,6,50,71,56
232,8,65,55,52
233,27,88,47,59
234,9,54,77,64
235,5,71,51,43
236,1,78,63,49
237,19,52,67,42
238,10,61,92,80
239,12,75,47,84
240,24,65,97,57
241,15,100,67,86
242,27,86,75,75
243,22,71,65,86
244,24,78,47,61
245,9,63,97,73
246,20,77,99,86
247,17,54,89,47
248,17,96,67,79
249,26,98,67,88
250,20,79,76,83
251,12,95,80,58
252,7,54,75,81
253,2,61,66,80
254,3,65,93,76
255,17,75,56,45
256,5,75,48,91
257,17,97,72,65
258,24,70,92,73
259,17,88,59,98
260,27,85,52,95
261,17,82,67,98
262,2,79,87,84
263,2,86,68,45
264,28,72,52,76
265,22,59,85,96
266,23,54,74,72
267,5,85,100,92
268,1,83,45,61
269,1,80,57,60
270,19,59,90,45
271,2,68,44,45
272,21,81,86,94
273,12,50,64,87
274,26,54,41,43
275,6,94,49,69
276,23,53,95,50
277,4,65,69,69
278,23,73,89,70
279,11,65,98,63
280,24,51,84,94
281,27,98,44,48
282,17,77,94,94
283,6,81,95,42
284,24,76,72,90
285,5,69,93,70
286,20,73,40,79
287,2,61,57,76
288,6,99,71,75
289,22,84,86,63
290,11,82,88,70
291,16,82,50,45
292,16,100,60,41
293,1,92,65,59
294,9,86,64,67
295,28,61,61,50
296,27,52,98,43
297,6,50,66,54
298,16,82,88,45
299,29,89,52,93
300,3,59,72,88
